Straße ;Planquadrat ;Datum der Benennung;Informationen zur Benennung 
Karolinenplatz ;J 8 ;29. Okt 75;Benannt nach Landgräfin Caroline Henriette Christiane Louise von Hessen-Darmstadt (1721-1774) 
Kirchstraße ;J 8 ;;Benannt nach der Stadtkirche. 
Kleinschmidt-Steg ;J 8 ;Beschluß der Stadtverordnetenversammlung vom 9.7.1980 ;Steg über die Holzstraße.Benannt nach Johannes Kleinschmidt (1536-1587), erster Kanzler der Darmstädter Regierung. 
Kopernikusplatz ;J 8 ;26. Feb 60;Benannt nach Nikolaus Kopernikus (1473-1543), Astronom, er wies nach, dass sich die Planeten um die Sonne und nicht um die Erde bewegen. 
Lauteschlägerstraße ;J 8 ;Benennung 1873 ;Benannt nach Karl Christian Lauteschläger (1788-1835). Bürgermeister v. Darmstadt (1833-1835). 
Lindenhofstraße ;J 8 ;Benannt 1864 ;Nach d. früher an dieser Straße gelegenen Brauerei 'Zum Lindenhof' benannt. 
Ludwig-Metzger-Platz ;J 8 ;10. Dez 97;Benennung nach Ludwig Metzger (1902-1993), Darmstädter Oberbürgermeister, Ehrenbürger der Stadt Darmstadt. 
Ludwigspassage ;J 8 ;24. Nov 56;Benannt nach Ludewig I., Großherzog von Hessen (17531830) 
Ludwigsplatz ;J 8 ;Benennung 1824 ;Benannt nach Ludewig I., Großherzog von Hessen (17531830) 
Ludwigstraße ;J 8 ;Benennung 1824 ;Benannt nach Ludewig I., Großherzog von Hessen (17531830) 
Luisenstraße ;J 8 ;Benennung 1820 ;Benannt nach Luise, Großherzogin von Hessen (17611829) 
Magdalenenstraße ;J 8 ;Benennung 1867 ;Benannt nach Magdalene, Landgräfin von Hessen (15821616). 
Marion-Gräfin-Dönhoff-Platz ;J 8 ;16. Jan 08;Benannt nach Marion Gräfin Dönhoff (1909-2002), Publizistin, Schriftstellerin, Gründungspräsidentin des Poleninstituts. Gilt vor allem durch ihre Tätigkeit bei der Wochenzeitung die 'Zeit' als eine der wichtigsten Journalistinnen der Nachkriegszeit. 
Marktplatz ;J 8 ;;1360 wurde der erste Marktplatz von Darmstadt eingeweiht. 
Mauerstraße ;J 8 ;Benennung 1831 ;Benennung zur Erinnerung an die zwischen ihr und der Magdalenenstr. errichtete Mauer. 
Mercksplatz ;J 8 ;22. Sep 65;So benannt, da sich hier früher die von Heinrich Emanuel Merck gegründete gleichnamige Fabrik befand. 
Merckstraße ;J 8 ;5. Dezember 1951 25. Februar 1952 ;Benennung anläßlich des 125jährigen Bestehens der Firma E. Merck. 
Pädagogstraße;J 8 ;Benennung 1863 ;Benennung nach dem an der Straße gelegene um 1627 errichteten Schulgebäude dem 'Alten Pädagog' 
Paula-Ludwig-Platz ;J 8 ;20. Sep 00;Benannt nach Paula Ludwig (1900-1974), Lyrikerin 
Pützerstraße;J 8 ;05. Jul 51;Benannt nach Prof. Johann Friedrich Pützer (1871-1922), Prof. für Baukunst an der TH Darmstadt, Kirchenbaumeister der Ev. Landeskirche. Erbauer der Pauluskirche, Hauptbahnhof u.v.a. Bauten. 
Alexandraweg ;J 8-9;22. Dez 00;Benannt nach Prinzessin Alix von Hessen (1872-1918), der 4. Tochter Ludwigs IV und Großherzogin Alice. Am 14.11.1894 heiratete sie Zar Nikolaus II. Sie nahm den Namen Alexandra Feodorowna an und wurde 1918 während der russ. Revolution ermordet. 
Darmstraße ;J 8-9 ;Benennung 1875 ;Benannt zur Erinnerung, dass kleine Wasserläufe, teilweise unbedeckt-und dann auf einem 'Brückelchen' überschreitbar-die Stadt durcheilt haben oder noch durchfließen. 
Landgraf-Georg-Straße ;J 8-9 ;Benennung 1907 ;Benannt nach Landgraf Georg I., Begründer der Hessen-Darmstädter Linie (1547-1596) Regierungsbeginn 1567. 
Nikolaiweg ;J 8-9 ;Benennung 1900 ;Benannt nach Nikolaus II., Zar von Rußland (1868-1918), er ließ die Russische Kapelle au der Mathildenhöhe bauen. 
Olbrichweg ;J 8-9 ;Benennung 1901 ;Benannt nach Joseph Maria Olbrich (1867-1908), Architekt, Maler, Designer, Schöpfer des Hochzeitsturms. 
Prinz-Christians-Weg;J 8-9 ;Benennung 1903 ;Benannt nach Christian, Prinz von Hessen (1763-1830), Begründer der Gartenanlagen. 
Bauhausweg ;J 9 ;23. Apr 63;Benannt nach dem Staatlichen Bauhaus, einer Hochschule für Gestaltung (1919-1933) gegründet von Walter Gropius 
Bernhard-Sälzer-Platz ;J 9 ;29. Mai 96;Benannt nach Bernhard Sälzer (1940-1993), Stadtverordneter, Mitglied des Europaparlamentes 
Christiansenweg ;J 9 ;10. Jan 73;Benannt nach Hans Christiansen (1866-1945), Kunstmaler u. Mitglied der Künstlerkolonie 
Dreibrunnenstraße ;J 9 ;Benennung 1973 ;Benannt nach der Dreibrunnenquelle an der Erbacher Str. 
Edschmidweg ;J 9 ;28. Jan 81;Park Rosenhöhe, benannt nach Kasimir Edschmid (18901966), in Darmstadt geborener Schriftsteller 
Eugen-Bracht-Weg ;J 9 ;Benennung 1924 ;Benannt nach Prof. Eugen Bracht (1842-1921), Darmstädter Landschaftsmaler. 
Fiedlerweg ;J 9 ;13. Apr 05;Benannt nach Johann Christian Fiedler (1697-1765), Hofmaler in Darmstadt bei Landgraf Ernst-Ludwig. 
Froschweg ;J 9 ;24. Jun 87;Benennung erfolgte, da es in der Nähe vom Großen Woog viele Frösche gibt. 
Georg-Hensel-Weg ;J 9 ;22. Jan 97;Park Rosenhöhe, Benennung nach Georg Hensel (19231996) Darmstädter Theaterkritiker u. Schriftsteller. 
Heinrich-Jobst-Treppe ;J 9 ;20. Jun 01;Benannt nach Heinrich Jobst (1874-1943), Darmstädter Bildhauer 
Hoetgerweg ;J 9 ;12. Dez 73;Benannt nach Bernhard Hoetger (1874-1949), Bildhauer, schuf die Löwenplastiken des Löwentors am Park Rosenhöhe. 
Lucasweg ;J 9 ;Benennung 1903 ;Benannt nach Georg Friedrich August Lucas (18031863), Darmstädter Landschaftsmaler, wichtiger Vertreter der Romantik. 
Mathildenhöhe ;J 9 ;;Parkanlage 
Mathildenhöhweg ;J 9 ;Benennung 1900 ;Benannt nach Mathilde (1813-1862), Tochter Ludwigs I. von Bayern, Gemahlin des Großherzogs Ludwig III. 
Platanenhain;J 9 ;;Parkanlage auf der Mathildenhöhe 
Prinz-Ludwig-Weg ;J 9 ;16. Mrz 88;Park Rosenhöhe, benannt nach Prinz Ludwig von Hessen u. bei Rhein (1908-1968) 
Achatweg ;J 9-10 ;27. Feb 02;Benannt nach dem Edelstein 
Am Busenberg ;J 9-10 ;27. Feb 02;Gewannbezeichnung nach der ehemaligen Bezeichnung der Rosenhöhe 
Am Judenteich ;J 9-10 ;02. Apr 53;Benannt nach einem der 3 Forellenteiche, die früher zwischen den 3 Brunnen und dem großen Woog lagen und unter Landgr. Georg I. angelegt wurden. Als einziger hat er sich bis heute erhalten. Sein Name kann von dem Teichgräber Heinrich Judt aus Butzbach herrühren, der in den Kellereirechnungen von 1572 bei den Arbeiten am Kranichsteiner Teich erwähnt wird. 
Am Molkenbrunnen ;J 9-10 ;27. Feb 02;Gewannbezeichnung nach einem ehemaligen Brunnen. 
An der Meierei ;J 9-10 ;27. Feb 02;Gewannbezeichnung nach der Großherzogliche Hofmeierei 1893-1928 
Dolf-Sternberger-Weg ;J 9-10 ;09. Okt 96;Park Rosenhöhe,benannt nach Dolf Sternberger (19071989), Publizist u. Politikwissenschaftler. 
Granatweg ;J 9-10 ;27. Feb 02;Benennung nach dem Edelstein 
Jadeweg ;J 9-10 ;27. Feb 02;Bennung nach dem Edelstein. 
Keyserlingweg ;J 9-10 ;28. Jan 81;Park Rosenhöhe, benannt nach Hermann Graf Keyserling (1880-1946), Philosoph,gründete in Darmstadt 
Ludwig-Engel-Weg ;J 9-10 ;28. Januar 1981 2. September 1981 ;Park Rosenhöhe, benannt nach Dr. Ludwig Engel (19061975),Darmstädter Oberbürgermeister (1951-1971). 
Mondsteinweg ;J 9-10 ;27. Feb 02;Benannt nach dem Edelstein. 
Opalweg ;J 9-10 ;27. Feb 02;Benannt nach dem Edelstein. 
Römheldweg;J 9-10 ;6. November 1963 22. Juni 1966 ;Benannt nach Gustav von Römheld (1861-1933). Kabinettchef des Großherzogs Ernst Ludwig von Hessen, Begründer der Keramischen Manufaktur, 1. Vorsitzender der Gesellschaft für freie Philosophie 
Hanauer Straße ;J 9-K 14 ;05. Jul 89;Benennung nach der Stadt Hanau, hess. Kreisstadt des Main-Kinzig-Kreises. 
Alicenplatz ;J-H 7 ;Benennung 1880 ;Benannt nach Alice(1843-1878), Großherzogin von Hessen, Gemahlin Ludwig IV. 
Alicenstraße ;J-H 7 ;Benennung 1872 ;Benannt nach Alice (1843-1878), Großherzogin von Hessen,Gemahlin Ludwig IV. 
Rheinstraße;J-K 4-8 ;Benennung um 1800 ;Benannt nach dem Fluß 'Rhein', westl. von Darmstadt. 
Am Waldfriedhof ;J-K 5 ;22. Sep 65;Benannt nach dem 1914 angelegten Waldfriedhof 
Eifelring ;J-K 5 ;24. Mai 72;Benennung nach der Eifel, dem westl. Teil des Rheinischen Schiefergebirges. 
Maria-Goeppert-Straße ;J-K 5 ;01. Sep 99;Benannt nach Maria Goeppert-Mayer (1906-1972), Physikprofessorin, Nobelpreisträgerin für Physik 
Robert-Bosch-Straße;J-K 5-6 ;20. Jan 99;Benannt nach Robert Bosch (1861-1942), Gründer der Robert Bosch GmbH, Erfinder der Magnetzündung 
Albert-Schweitzer-Anlage ;J-K 7 ;03. Apr 68;Benannt nach Professor Dr. Albert Schweitzer (1875-1965) Arzt und Forscher 
Birkenweg ;J-K 7 ;02. Jul 52;Benennung nach dem Laubbaum Birke 
Hindenburgstraße ;J-K 7 ;Benennung 1915 ;Benannt nach Reichspräsident Paul von Beneckendorf und Hindenburg (1847-1934), im Weltkrieg Chef des Generalstabs, von 1925 bis 1934 Reichspräsident. 
Landgraf-Philipps-Anlage ;J-K 7 ;Benennung 1904 ;Benannt nach Philipp dem Großmütigen, Landgraf von Hessen (1504-1567). 
Neckarstraße ;J-K 7 ;;Benannt nach dem Neckar, einem rechten Nebenfluß des Rheins. 
Elisabethenstraße ;J-K 7-8 ;Benennung 1843 ;Benannt nach Prinzessin Elisabeth ( 1815-1843), Tochter d. Prinzen Wilhelm von Preußen. Verheiratet mit Prinz Karl von Hessen. Besonderen Anteil nahm die Prinzessin an denWerken christlicher Nächstenliebe ->Elisabethenstift (Diakonissenhaus), Sonntagsschule 
Karlstraße ;J-K 8 ;Benennung 1830 ;Benannt nach Karl, Prinz von Hessen (1809-1877), Vater des Großherzogs Ludwig IV. 
Martin-Buber-Straße ;J-K 8 ;22. Sep 65;Benannt nach Martin Buber (1878-1965),jüdischer Religionsphilosoph und Bibelübersetzer. 
Mühlstraße ;J-K 8 ;Benennung 1860 ;Erinnert an die vor Zeiten dort gelegenen, durch den Darmbach getriebenen Mühlen. 
Riedlingerstraße;J-K 8 ;Benennung 1905 ;Benannt nach dem Baumeister Ludwig Riedlinger (18311911), 1879-1903, Beigeordneter und dann Ehrenbeigeordneter der Stadt Darmstadt. 
Erbacher Straße ;J-K 8-10 ;Benennung 1871 ;Benennung nach der hessischen Kreisstadt Erbach. 
Am Botanischen Garten ;J-K 9 ;01. Feb 78;Benennung nach dem Botanischen Garten in Darmstadt 
Beckstraße ;J-K 9 ;Benennung 1873 ;Benannt nach dem Geheimen Regierungsrat Ferdinand Beck (1789-1862), dem Mitbegründer und langjährigem Leiter der Knabenarbeitsanstalt. 
Gervinusstraße ;J-K 9 ;Benennung 1882 ;Benannt nach Prof. Georg Gottfried Gervinus (18051871),Darmstädter Literaturhistoriker u. Politiker. 
Heidenreichstraße ;J-K 9 ;;Benannt nach Dr. Marianne Theodore Charlotte Heidenreich geb. Heiland, genannt von Siebold (17881859), Ärztin u. Geburtshelferin 
Heinrich-Fuhr-Straße ;J-K 9 ;Benennung 1918 ;Benannt nach Heinrich Fuhr (1777-1840), Darmstädter Kaufmann, Begründer der Heinr.-Fuhr-Stiftung. 
Inselstraße ;J-K 9 ;;Die Straße hat ihren Namen daher, dass sie in Richtung der im Jahre 1926 entfernten Insel 'im großen Woog'führte. 
Petersenstraße;K 10 ;07. Sep 56;Benannt nach Professor Dr.-Ing. Dr. hc. Waldemar Petersen (1880-1946), Erfinder auf dem Gebiet der Elektrotechnik, ordentlicher Professor an der TH Darmstadt. 
Aschaffenburger Straße ;K 10-13 ;03. Apr 68;Benannt nach der Stadt Aschaffenburg am Main 
Am Kellerweg ;K 4 ;Benennung 1926 ;Benennung nach dem Samenhändler Heinrich Keller (17781851) 
An der Posch ;K 4 ;05. Jul 51;Benannt nach einer Gewannbezeichnung. Posch bedeutete 'Schlamm, Schmutz'. 
Ginsterweg ;K 4 ;02. Jul 52;Benennung nach den dortigen Ginstersträuchern. 
Noetherweg ;K 4 ;03. Aug 88;Benannt nach Emmi Noether (1882-1935), Mathematikerin, Max Noether (1844-1921), Mathematiker 
Otto-Hesse-Straße ;K 4 ;Benennung 1927/28 ;Benannt nach den damals dort ansässigen Firmen 'Otto' u. 'Hesse' ( Hessenwerke) 
Alter Griesheimer Weg ;K 4-5 ;;Benannt nach der Stadt Griesheim,westl. von DA 
Pupinweg;K 5 ;;Benannt nach Michael Pupin (1858-1935), Physiker u. Erfinder auf dem Gebiet des Fernsprechwesens. 
Ida-Rhodes-Straße ;K 5-6 ;10. Nov 04;Benannt nach Ida Rhodes (1900-1986), Mathematikerin,Pionierin der Computeranwendung zur Übersetzung von Fremdsprachen 
Am Hopfengarten ;K 6 ;Benennung 1923 ;Gewannbezeichnung nach einem Hopfengarten der früher hier lag. 
Am Kavalleriesand ;K 6 ;20. Dez 51;Benannt nach einem Kavallerie-Exerzierplatz, der sich früher hier befand. 
Berliner Allee ;K 6 ;30. Jan 59;Benennung nach der Stadt Berlin 
Deutsche-Telekom-Allee ;K 6 ;10. Nov 04;Benannt nach der Deutschen Telekom, globaler Telekommunikationsanbieter 
Georg-Ohm-Straße ;K 6 ;10. Nov 04;Benannt nach Georg Simon Ohm (1789-1854), Physiker, entdeckte den Zusammenhang zwischen Stromstärke und Spannung,Namensgeber für die Maßeinheit des elektrischen Widerstandes. 
Heinrich-Hertz-Straße ;K 6 ;10. Nov 04;Benannt nach Heinrich Hertz (1857-1894), Physiker, erforschte die elektromagnetischen Wellen, Namensgeber für die Einheit der Frequenz. 
Hilpertstraße ;K 6 ;30. Jan 63;Benannt nach Dr. Werner Hilpert (1897-1957), ehem. Hessischer Finanzminister u. Präsident der Deutschen Bundesbahn. 
Mina-Rees-Straße ;K 6 ;10. Nov 04;Benannt nach Mina Rees (1902-1997), Mathematikerin, war an der Entwicklung elektronischer Rechenanlagen beteiligt. 
Pfalzweg;K 6 ;25. Jul 50;Benannt nach der Pfalz, einem Teil des Bundeslandes 'Rheinland-Pfalz' 
Philipp-Röth-Weg;K 6 ;Benennung 1926 ;Benannt nach Philipp Röth (1841-1921); Darmstädter Landschaftsmaler und Zeichner. 
Havelstraße ;K 6-7 ;09. Jul 54;Benennung nach der Havel, größter rechter Nebenfluss der Elbe 
Holzhofallee ;K 6-7 ;Benennung 1818 ;Benannt nach dem Holzhof in der Gemarkung Bessungen. 
Artilleriestraße ;K 7 ;;Benannt nach der früheren Kaserne 
Brandisstraße ;K 7 ;26. Jan 52;Benannt nach Gustav Brandis (1876-1948), 25 Jahre lang Leiter der Hessischen Elektrizitäts AG (HEAG), besondere Verdienste um die Stromversorgung in DA 
Eichbergstraße ;K 7 ;;Gewannbezeichnung nach einem Berg der mit Eichen bewachsen war. 
Im Höllchen ;K 7 ;;Benannt nach einer Gewannbezeichnung, ehem. Feldflur 'Im Helchen', abgeleitet von Halde, Abhang. 
Kröhweg ;K 7 ;11. Jun 54;Benannt nach Professor Heinrich Reinhard Kröh (18411941), Kunstmaler, beigesetzt auf dem Alten Friedhof in Darmstadt. 
Lippmannstraße ;K 7 ;29. Okt 59;Benannt nach Professor Johannes Lippmann (18581935), Maler, wurde besonders für seine Landschaftsbilder aus dem Odenwald bekannt. 
Marienplatz ;K 7 ;Benennung 1848 ;Benannt nach Marie, Prinzessin v. Hessen (1824-1880), Gemahlin von Alexander II. von Rußland. 
Heinrichstraße ;K 7-10 ;Benennung 1859 ;Prinz Heinrich von Hessen (1838-1900), Sohn von Prinz Karl und Prinzessin Elisabeth. 
Annastraße ;K 7-8 ;31. Juli 1859 ;Benannt nach der Großherzogin Maria Anna von Mecklenburg-Schwerin (1843-1865) geb. Prinzessin von Hessen und bei Rhein, der einzigen Tochter des Prinzen Karl von Hessen und seiner Gemahlin Elisabeth. In der Residenz Schwerin starb Großherzogin Anna nach der Geburt einer Tochter im April 1865. 
Georg-Büchner-Platz ;K 7-8 ;10. Nov 99;Benennung nach Georg Büchner (1813-1837), Darmstädter Dichter. 
Goethestraße ;K 7-8 ;Benennung 1898 ;Benannt nach Johann Wolfgang von Goethe (17491822), Dichter. 
Hermannstraße ;K 7-8 ;Benennung 1879 ;Benannt nach dem Bauunternehmer Hermann Felsing (1837-1887), Bauunternehmer u. Standesbeamter von Bessungen, baute einen großen Teil der Häuser in der Straße. 
Hügelstraße ;K 7-8 ;Benennung 1888 ;Benennung nach der Bodenbeschaffenheit. 
Riedeselstraße ;K 7-8 ;Benennung 1857 ;Die alte hessische Adelsfamilie von Riedesel war ehemals Eigentümerin des Geländes. 
Dr. Valentin-Degen-Weg ;K 8 ;12. Jan 94;Benannt nach Dr. Dr. Valentin Degen (1902-1961), ehemaliger Pfarrer der St. Ludwigs-Gemeinde 
Eichendorffweg ;K 8 ;;Benannt nach Joseph Freiherr von Eichendorff (17881857), Dichter, Hauptvertreter der deutschen Romantik. 
Freiberger Platz ;K 8 ;16. Jan 91;Benannt nach Freiberg, Darmstadts Schwesterstadt am nordöstl. Rand des Erzgebirges,zwischen Dresden u. Chemnitz 
Grüner Weg ;K 8 ;Benennung 1879 ;Dieser Weg führte früher in südl. Richtung ins Grüne 
Hochstraße ;K 8 ;Benennung 1871 ;Die Lage der Straße gab ihr den Namen, da sie etwas ansteigt. 
Hoffmannstraße ;K 8 ;Benennung 1884 ;Benannt nach Dr. Karl Johann Hoffmann (1819-1874), Darmstädter Hofgerichtsadvokatund Politiker. 
Hölgesstraße ;K 8 ;27. Okt 51;Benannt nach Nach dem Flurnamen 'Im Hellgen', abgeleitet von Halde=Abhang. 
Ilse-Langner-Platz ;K 8 ;22. Jan 97;Benannt nach Ilse Langner (1899-1987), Schriftstellerin, Bundesverdienskreuzträgerin. 
Mathildenstraße ;K 8 ;Benennung 1889 ;Benannt nach Mathilde Schenck,Tochter des Bergrats Wilhelm Schenck , die private Bezeichnung der Straße wurde amtlich übernommen. 
Morgensternweg ;K 8 ;26. Aug 70;Benannt nach Christian Morgenstern (1871-1914), Lyriker ,Schriftsteller u. Dichter 
Mörikeweg ;K 8 ;18. Apr 57;Benannt nach Eduard Mörike (1804-1875),schwäbischer Lyriker u. Erzähler. 
Moserstraße ;K 8 ;Benennung 1899 ;Benannt nach Freiherr Friedrich Karl von Moser (17231798), Jurist, Politiker und hessischer Kanzler. 
Novalisstraße ;K 8 ;18. Apr 57;Benannt nach dem Künstlernamen 'Novalis' des Romantikers Friedrich Freiherr von Hardenberg (17721801), frühromantischer Dichter. 
Paulusplatz;K 8 ;Benennung 1909 ;Benannt nach der dortigen Pauluskirche. 
Am Alten Friedhof ;K 8-9 ;;Benannt nach dem Friedhof an der Nieder-Ramstädter-Str. 
Am Erlenberg ;K 8-9 ;Benennung 1901 ;Benannt nach einer alten Gewann, die früher mit Erlen bewachsen war. 
Herdweg ;K 8-9 ;Benennung 1899 ;So benannt, da er ehemals der Weg zur Bessunger Gemeindeweide war. 
Kiesstraße ;K 8-9 ;Benennung 1873 ;Die Bodenbeschaffenheit gab der Straße den Namen. 
Ohlystraße ;K 8-9 ;Benennung 1901 ;Benannt nach Albrecht Ohly (1829-1891), Oberbürgermeister von Darmstadt (1879-1891). 
Roquetteweg;K 8-9 ;Benennung 1901 ;Benannt nach Prof. Otto Roquette (1824-1896), deutscher Dichter und Professor für deutsche Literatur an der TH Darmstadt. 
Breslauer Platz ;K 9 ;24. Mrz 56;So benannt, zur Erinnerung an deutsche Städte in den ehemaligen Ostgebieten. 
Dachsbergweg ;K 9 ;;Gewannbezeichnung nach einer im Südosten Darmstadts liegenden Erhebung. 
Diltheyweg ;K 9 ;10. Okt 79;Benannt nach Carl Julius Dilthey (1797-1857), Darmstädter Gymnasialdirektor 
Erlenweg ;K 9 ;Benennung 1925 ;Gewannbezeichnung nach dem Pflanzenbewuchs in diesem Gebiet. 
Frankenäckerweg ;K 9 ;Benennung 1925 ;Die Straßenbezeichnung weist darauf hin, dass an der Stelle vor Jahren Funde aus der Frankenzeit gemacht worden sind. 
Glasbergweg ;K 9 ;;Benennung nach dem östl. der Erbacherstraße liegenden Glasberg. 
Gundolfstraße ;K 9 ;26. Jun 53;Benannt nach Prof.Dr. Friedrich Gundolf (18801931),Darmstädter Literaturforscherund Kritiker 
Hicklerstraße ;K 9 ;Benennung 1923 ;Benannt nach Kommerzienrat Gustav Hickler (18181889),Darmstädter Stadtverordneter u. Beigeordneter, Standesbeamter. 
Kirchbergweg ;K 9 ;;Benennung nach einer Erhebung im Südosten von Darmstadt, dem sogen. Kirchberg. 
Kohlbergweg ;K 9 ;;Gewannbezeichnung nach dem 'Kohlberg', einer Erhebung im Osten von Darmstadt. 
Nehringweg ;K 9 ;21. Sep 77;Benannt nach Johannes Nehring (1902-1930), Pionier des darmstädter Segelfluges. Als Wetterpilot am Kühkopf abgestürzt. 
Poepperlingweg;K 9 ;27. November 1974 29. Oktober 1975 ;Benannt nach den Brüdern Oberstudiendirektor Dr. Hermann Poepperling (1890-1944), Oberstudiendirektor Ludwig Poepperling (1885-1939), fortschrittliche Schulreformer. 
Rehkopfweg;K 9 ;26. Jun 53;Benennung nach der Bezeichnung eines Berges bei Roßdorf 
Auf der Nachtweide ;K 9-10 ;21. Sep 77;Benennung nach dem Wiesengelände, das einst zum nächtl. Weiden des Viehs diente. 
Kriegerweg ;K 9-10 ;10. Okt 79;Benannt nach Arnold Krieger (1904-1965), Dichter und Schriftsteller, beigesetzt auf dem Darmstädter Waldfriedhof. 
Lichtwiesenweg ;K 9-10 ;11. Okt 61;Gewannbezeichnung nach den dortigen Wiesen. 
Flughafenstraße ;K-L 3 ;26. Aug 64;Benennung nach dem im Westen von Darmstadt, bei Griesheim gelegenen Flughafengelände . 
Kleyerstraße ;K-L 5-6 ;06. Jan 65;Benannt nach Heinrich Kleyer (1853-1932),Darmstädter, Gründer der Adlerwerke ('Adler-Fahrradwerke') 
Haardtring ;K-L 6-7 ;;Benennung nach der 'Haardt', dem östl. teil des Pfälzer Waldes an der Deutschen Weinstr. 
Donnersbergring ;K-L 7 ;Benennung 1907 ;Benannt nach der höchsten Erhebung des Pfälzer Berglandes. 
Groß-Gerauer Weg ;K-L 7 ;;Benennung nach der Kreisstadt Groß-Gerau, im nördlichen Hessischen Ried. 
Ingelheimer Straße ;K-L 7 ;08. Feb 51;Benennung nach der Rheinland-Pfälzischen Stadt Ingelheim 
Kattreinstraße ;K-L 7 ;;Benannt nach Major Ernst Ludwig Kattrein (1837-1886), Erstürmer von Schloß Chambord am 9.12.1870.Beigesetzt auf dem Alten Friedhof in Darmstadt. 
Prinz-Emils-Garten;K-L 7 ;;Parkanlage 
Bruchwiesenstraße ;K-L 8 ;;Gewannbezeichnung, hier befand sich früher ein Sumpfgebiet; es hieß 'feuchte Wiese' 
Bruststraße ;K-L 8 ;Benennung 1901 ;Benannt nach Georg Friedrich Brust (1790-1854) großherzoglicher Baumeister. 
Hobrechtstraße ;K-L 8 ;Benennung 1901 ;Benannt nach Dr. James Hobrecht (1825-1902),Geh. Baurat Ehrenbürger der Stadt Darmstadt, verdient um die Darmstädter Quellwasserversorgung. 
Im Geißensee ;K-L 8 ;Benennung 1901 ;In einem Aktenstück von 1720 heißt die Gegend 'Der geistliche See'. Die Benennung ist wahrscheinlich aus der falschen Schreibweise entstanden. 
Martinstraße ;K-L 8 ;;Führt in der Fortsetzung, Martinspfad, zum Herrgottsberg, auf dem vor Zeiten eine dem hl. Martin von Tours geweihteKapelle stand. 
Niebergallweg ;K-L 8 ;Benennung 1901 ;Benannt nach Ernst Elias Niebergall (1815-1843), Darmstädter Mundartdichter, Verfasser von 'Datterich' und 'Der tolle Hund'. 
Osannstraße ;K-L 8 ;Benennung 1918 ;Benannt nach Dr. Arthur Osann (1829-1908), Darmstädter Hofgerichtsadvokaten und Politiker. 
Jahnstraße ;K-L 8-9 ;23. Jan 59;Benannt nach Friedrich Ludwig Jahn (1778-1852), Pädagoge u. Politiker, gen. 'Turnvater Jahn'. 
El-Lissitzky-Straße ;K-L 9 ;05. Jul 89;Benannt nach El (Eliezer, Markowitsch) Lissitzky (18901941),Architekt,Stadtplaner u. Designer,studierte u. a. an der Polytechnischen Hochschule Darmstadt. 
Eschollbrücker Straße ;K-N 4-7 ;;Benannt nach dem Ort Eschollbrücken 
Heidelberger Straße ;K-N 7 ;Benennung 1859 ;Stadtteil Eberstadt,Benennung nach der Stadt Heidelberg, 60 km südl. von Darmstadt. 
Nieder-Ramstädter Straße ;K-N 8-10 ;Benennung 1824 ;Benannt nach dem Ort Nieder-Ramstadt ,südöstl. von Darmstadt. 
Maria-Theresia-Straße ;L 2 ;;Benannt nach Kaiserin Maria Theresia von Habsburg (1717-1780). 
Lilienthalstraße ;L 2-3 ;;Benannt nach Otto Lilienthal (1848-1896), Pionier der Luftfahrt, Begründer des Segelflugs. 
Georgiiplatz ;L 3 ;29. Mai 96;Benannt nach Prof. Dr. phil. Walter Georgii (1888-1968), Begründer der Flugmeteorologie, ehem. Leiter der Deutschen Forschungsanstalt für Segelflug in Darmstadt. 
Nehringstraße ;L 3 ;;Benannt nach Johannes Nehring (1902-1930), Pionier des darmstädter Segelfluges. Als Wetterpilot am Kühkopf abgestürzt. 
Eberhardtstraße ;L 3-4 ;;Benannt nach Prof. Carl Johann Eberhardt (1877-1932), Inhaber d. ersten Lehrstuhls für Flugtechnik a. d. Techn. Hochschule Darmstadt 
Am Blauen Stein ;L 6 ;30. Jan 59;Gewannbezeichnung wahrsch. nach einem bläulichen Grenzstein 
Am Sandacker ;L 6 ;18. Jul 50;Benannt nach einer Gewannbezeichnung, die sich auf die Bodenbeschaffenheit bezog. 
An der Flachgewann ;L 6 ;;Benennung nach einer Flurbezeichnung, die 'flaches Land' bedeutet. 
Finkenweg ;L 6 ;02. Jul 52;Benennung nach dem einheimischen Singvogel Fink. 
Forstweg ;L 6 ;;Benennung nach dem Weg, der zu einem früher wirtschaftl. genutzten Waldstück führte. 
Riedstraße;L 6 ;22. Jan 54;Benannt nach der hessischen Landschaft 'Ried'. 
Danziger Platz ;L 6-7 ;26. Feb 60;Benennung nach der Hafenstadt Danzig an der Ostsee 
Nachtigallenweg ;L 6-7 ;24. Jun 87;Benannt nach dem Singvogel Nachtigall. 
Bessunger Straße ;L 6-8 ;Benennung 1888 ;Die Benennung hält die Erinnerung an das erst 1888 mit Darmstadt vereinigte Dorf Bessungen fest. 
Ahastraße ;L 7 ;;Benannt nach dem früher gegenüber vorhandenen (Aha) Durchblick in der Umfriedung des Prinz-Emils-Gartens. 
Am Kapellberg ;L 7 ;26. Aug 70;Benennung nach der Bessunger Petruskirche 
Bessunger Platz ;L 7 ;13. Jun 84;Platz vor der Bessunger Kirche 
Binger Straße ;L 7 ;11. Mrz 50;Benannt nach der Rheinland-Pfälzischen Kreisstadt Bingen. 
